home_visits,clinicians_meet_each_other,social_infectivity_multiple_if_symptomatic,iteration,day,n_people_infected,n_clinicians_infected,n_patients_infected,n_family_infected,n_contacts
True,True,0.1,9,25,1251,1,408,842,462250
True,True,0.1,9,26,1251,1,408,842,480740
True,True,0.1,9,27,1251,1,408,842,499230
True,True,0.1,9,28,1251,1,408,842,517720
True,True,0.1,9,29,1251,1,408,842,536210
True,True,0.1,9,30,1251,1,408,842,554700
True,True,0.1,9,31,1251,1,408,842,573190
True,True,0.1,9,32,1251,1,408,842,591680
True,True,0.1,9,33,1251,1,408,842,610170
True,True,0.1,9,34,1251,1,408,842,628660
True,True,0.1,9,35,1251,1,408,842,647150
True,True,0.1,9,36,1251,1,408,842,665640
True,True,0.1,9,37,1251,1,408,842,684130
True,True,0.1,9,38,1251,1,408,842,702620
True,True,0.1,9,39,1251,1,408,842,721110
True,True,0.1,9,40,1251,1,408,842,739600
True,True,0.1,9,41,1251,1,408,842,758090
True,True,0.1,9,42,1251,1,408,842,776580
True,True,0.1,9,43,1251,1,408,842,795070
True,True,0.1,9,44,1251,1,408,842,813560
True,True,0.1,9,45,1251,1,408,842,832050
True,True,0.1,9,46,1251,1,408,842,850540
True,True,0.1,9,47,1251,1,408,842,869030
True,True,0.1,9,48,1251,1,408,842,887520
True,True,0.1,9,49,1251,1,408,842,906010
True,True,0.1,9,50,1251,1,408,842,924500
True,True,0.1,9,51,1251,1,408,842,942990
True,True,0.1,9,52,1251,1,408,842,961480
True,True,0.1,9,53,1251,1,408,842,979970
True,True,0.1,9,54,1251,1,408,842,998460
True,True,0.1,9,55,1251,1,408,842,1016950
True,True,0.1,9,56,1251,1,408,842,1035440
True,True,0.1,9,57,1251,1,408,842,1053930
True,True,0.1,9,58,1251,1,408,842,1072420
True,True,0.1,9,59,1251,1,408,842,1090910
True,True,0.1,9,60,1251,1,408,842,1109400
True,True,0.1,10,1,940,2,316,622,18490
True,True,0.1,10,2,940,2,316,622,36980
True,True,0.1,10,3,940,2,316,622,55470
True,True,0.1,10,4,940,2,316,622,73960
True,True,0.1,10,5,999,2,343,654,92450
True,True,0.1,10,6,1058,3,362,693,110940
True,True,0.1,10,7,1095,4,376,715,129430
True,True,0.1,10,8,1153,5,403,745,147920
True,True,0.1,10,9,1207,5,426,776,166410
True,True,0.1,10,10,1262,5,443,814,184900
True,True,0.1,10,11,1307,5,454,848,203390
True,True,0.1,10,12,1317,5,458,854,221880
True,True,0.1,10,13,1319,5,460,854,240370
True,True,0.1,10,14,1325,5,461,859,258860
True,True,0.1,10,15,1332,5,464,863,277350
True,True,0.1,10,16,1338,5,467,866,295840
True,True,0.1,10,17,1350,5,470,875,314330
True,True,0.1,10,18,1355,5,471,879,332820
True,True,0.1,10,19,1357,5,471,881,351310
True,True,0.1,10,20,1361,5,472,884,369800
True,True,0.1,10,21,1361,5,472,884,388290
True,True,0.1,10,22,1362,5,472,885,406780
True,True,0.1,10,23,1362,5,472,885,425270
